,code,language
0,af,afrikaans
1,sq,albanian
2,am,amharic
3,ar,arabic
4,hy,armenian
5,az,azerbaijani
6,eu,basque
7,be,belarusian
8,bn,bengali
9,bs,bosnian
10,bg,bulgarian
11,ca,catalan
12,ceb,cebuano
13,ny,chichewa
14,zh-cn,chinese (simplified)
15,zh-tw,chinese
16,co,corsican
17,hr,croatian
18,cs,czech
19,da,danish
20,nl,dutch
21,en,english
22,eo,esperanto
23,et,estonian
24,tl,filipino
25,fi,finnish
26,fr,french
27,fy,frisian
28,gl,galician
29,ka,georgian
30,de,german
31,el,greek
32,gu,gujarati
33,ht,haitian creole
34,ha,hausa
35,haw,hawaiian
36,iw,hebrew
37,hi,hindi
38,hmn,hmong
39,hu,hungarian
40,is,icelandic
41,ig,igbo
42,id,indonesian
43,ga,irish
44,it,italian
45,ja,japanese
46,jw,javanese
47,kn,kannada
48,kk,kazakh
49,km,khmer
50,ko,korean
51,ku,kurmanji
52,ky,kyrgyz
53,lo,lao
54,la,latin
55,lv,latvian
56,lt,lithuanian
57,lb,luxembourgish
58,mk,macedonian
59,mg,malagasy
60,ms,malay
61,ml,malayalam
62,mt,maltese
63,mi,maori
64,mr,marathi
65,mn,mongolian
66,my,burmese
67,ne,nepali
68,no,norwegian
69,ps,pashto
70,fa,persian
71,pl,polish
72,pt,portuguese
73,pa,punjabi
74,ro,romanian
75,ru,russian
76,sm,samoan
77,gd,scots gaelic
78,sr,serbian
79,st,sesotho
80,sn,shona
81,sd,sindhi
82,si,sinhala
83,sk,slovak
84,sl,slovenian
85,so,somali
86,es,spanish
87,su,sundanese
88,sw,swahili
89,sv,swedish
90,tg,tajik
91,ta,tamil
92,te,telugu
93,th,thai
94,tr,turkish
95,uk,ukrainian
96,ur,urdu
97,uz,uzbek
98,vi,vietnamese
99,cy,welsh
100,xh,xhosa
101,yi,yiddish
102,yo,yoruba
103,zu,zulu
104,fil,Filipino
105,he,Hebrew
